time,value
2019-07-12 01:00,33.5
2019-07-12 02:00,38.3
2019-07-12 03:00,52.5
2019-07-12 04:00,47.8
2019-07-12 05:00,38.3
2019-07-12 06:00,66.8
2019-07-12 07:00,52.5
2019-07-12 08:00,37.5
2019-07-12 09:00,43.1
2019-07-12 10:00,35.5
2019-07-12 11:00,42.7
2019-07-12 12:00,43.2
2019-07-12 13:00,38.6
2019-07-12 14:00,50.1
2019-07-12 15:00,61.1
2019-07-12 16:00,131.8
2019-07-12 17:00,70.7
2019-07-12 18:00,42.0
2019-07-12 19:00,28.6
2019-07-12 20:00,49.7
2019-07-12 21:00,74.5
2019-07-12 22:00,7.6
2019-07-12 23:00,40.4
2019-07-13 00:00,31.0
2019-07-13 01:00,27.4
2019-07-13 02:00,23.7
2019-07-13 03:00,35.6
2019-07-13 04:00,26.9
2019-07-13 05:00,30.1
2019-07-13 06:00,33.0
2019-07-13 07:00,39.3
2019-07-13 08:00,91.91
2019-07-13 09:00,34.71
2019-07-13 10:00,22.36
2019-07-13 11:00,79.43
2019-07-13 12:00,22.36
2019-07-13 13:00,32.24
2019-07-13 14:00,62.01
2019-07-13 15:00,61.1
2019-07-13 16:00,131.8
2019-07-13 17:00,70.7
2019-07-13 18:00,42.2
2019-07-13 19:00,38.0
2019-07-13 20:00,50.2
2019-07-13 21:00,53.0
2019-07-13 22:00,43.5
2019-07-13 23:00,40.1
2019-07-14 00:00,50.2
2019-07-14 01:00,39.4
2019-07-14 02:00,44.7
2019-07-14 03:00,32.4
2019-07-14 04:00,38.4
2019-07-14 05:00,40.6
2019-07-14 06:00,52.5
2019-07-14 07:00,37.5
2019-07-14 08:00,43.1
2019-07-14 09:00,99.0
2019-07-14 10:00,112.3
2019-07-14 11:00,66.8
2019-07-14 12:00,56.1
2019-07-14 13:00,80.2
2019-07-14 14:00,96.3
2019-07-14 15:00,89.4
2019-07-14 16:00,67.7
2019-07-14 17:00,56.8
2019-07-14 18:00,70.3
2019-07-14 19:00,82.2
2019-07-14 20:00,96.3
2019-07-14 21:00,88.5
2019-07-14 22:00,77.0
2019-07-14 23:00,50.3
2019-07-15 00:00,43.5
2019-07-15 01:00,25.4
2019-07-15 02:00,50.3
2019-07-15 03:00,57.9
2019-07-15 04:00,69.4
2019-07-15 05:00,14.0
2019-07-15 06:00,80.8
2019-07-15 07:00,50.1
2019-07-15 08:00,47.3
2019-07-15 09:00,40.2
2019-07-15 10:00,34.5
2019-07-15 11:00,38.4
2019-07-15 12:00,52.3
2019-07-15 13:00,40.1
2019-07-15 14:00,46.2
