time,value
2019-07-12 01:00,54.5
2019-07-12 02:00,67.3
2019-07-12 03:00,64.3
2019-07-12 04:00,58.2
2019-07-12 05:00,56.2
2019-07-12 06:00,53.2
2019-07-12 07:00,103.9
2019-07-12 08:00,68.6
2019-07-12 09:00,92.0
2019-07-12 10:00,87.8
2019-07-12 11:00,76.6
2019-07-12 12:00,73.1
2019-07-12 13:00,66.9
2019-07-12 14:00,60.3
2019-07-12 15:00,61.5
2019-07-12 16:00,71.5
2019-07-12 17:00,41.2
2019-07-12 18:00,48.3
2019-07-12 19:00,60.0
2019-07-12 20:00,69.0
2019-07-12 21:00,94.7
2019-07-12 22:00,86.8
2019-07-12 23:00,81.2
2019-07-13 00:00,114.3
2019-07-13 01:00,80.2
2019-07-13 02:00,90.5
2019-07-13 03:00,72.2
2019-07-13 04:00,85.3
2019-07-13 05:00,51.9
2019-07-13 06:00,68.4
2019-07-13 07:00,76.2
2019-07-13 08:00,79.4
2019-07-13 09:00,50.0
2019-07-13 10:00,61.2
2019-07-13 11:00,82.7
2019-07-13 12:00,29.0
2019-07-13 13:00,42.1
2019-07-13 14:00,32.7
2019-07-13 15:00,77.2
2019-07-13 16:00,53.5
2019-07-13 17:00,50.5
2019-07-13 18:00,72.3
2019-07-13 19:00,66.2
2019-07-13 20:00,86.0
2019-07-13 21:00,97.4
2019-07-13 22:00,101.2
2019-07-13 23:00,99.0
2019-07-14 00:00,97.5
2019-07-14 01:00,88.4
2019-07-14 02:00,70.2
2019-07-14 03:00,87.6
2019-07-14 04:00,91.3
2019-07-14 05:00,80.6
2019-07-14 06:00,110.3
2019-07-14 07:00,99.2
2019-07-14 08:00,89.0
2019-07-14 09:00,52.9
2019-07-14 10:00,68.7
2019-07-14 11:00,85.7
2019-07-14 12:00,73.0
2019-07-14 13:00,58.4
2019-07-14 14:00,46.8
2019-07-14 15:00,74.87
2019-07-14 16:00,60.06
2019-07-14 17:00,70.23
2019-07-14 18:00,87.39
2019-07-14 19:00,84.69
2019-07-14 20:00,69.03
2019-07-14 21:00,53.2
2019-07-14 22:00,60.6
2019-07-14 23:00,86.2
2019-07-15 00:00,52.1
2019-07-15 01:00,40.2
2019-07-15 02:00,101.9
2019-07-15 03:00,95.6
2019-07-15 04:00,159.7
2019-07-15 05:00,93.8
2019-07-15 06:00,134.4
2019-07-15 07:00,103.8
2019-07-15 08:00,84.5
2019-07-15 09:00,85.3
2019-07-15 10:00,79.4
2019-07-15 11:00,93.2
2019-07-15 12:00,80.0
2019-07-15 13:00,70.5
2019-07-15 14:00,65.6
2019-07-15 15:00,79.8
2019-07-15 16:00,90.0
2019-07-15 17:00,69.5
2019-07-15 18:00,52.6
2019-07-15 19:00,61.0
2019-07-15 20:00,49.5
2019-07-15 21:00,41.5
2019-07-15 22:00,23.6
2019-07-15 23:00,47.7
2019-07-16 00:00,27.0
2019-07-16 01:00,52.7
2019-07-16 02:00,29.6
2019-07-16 03:00,82.0
2019-07-16 04:00,114.9
2019-07-16 05:00,158.7
2019-07-16 06:00,87.6
2019-07-16 07:00,135.2
2019-07-16 08:00,148.7
2019-07-16 09:00,94.5
2019-07-16 10:00,86.8
2019-07-16 11:00,118.5
2019-07-16 12:00,113.1
2019-07-16 13:00,86.6
2019-07-16 14:00,71.4
2019-07-16 15:00,94.9
2019-07-16 16:00,85.9
2019-07-16 17:00,76.6
2019-07-16 18:00,85.9
2019-07-16 19:00,94.5
2019-07-16 20:00,81.6
2019-07-16 21:00,76.5
2019-07-16 22:00,86.5
2019-07-16 23:00,102.9
2019-07-17 00:00,58.7
2019-07-17 01:00,59.8
2019-07-17 02:00,49.9
2019-07-17 03:00,59.2
2019-07-17 04:00,65.0
2019-07-17 05:00,71.0
2019-07-17 06:00,63.0
2019-07-17 07:00,70.9
2019-07-17 08:00,84.8
2019-07-17 09:00,65.5
2019-07-17 10:00,78.6
2019-07-17 11:00,56.6
2019-07-17 12:00,71.8
2019-07-17 13:00,63.8
2019-07-17 14:00,84.7
2019-07-17 15:00,60.1
2019-07-17 16:00,66.7
2019-07-17 17:00,95.3
2019-07-17 18:00,72.8
2019-07-17 19:00,86.7
2019-07-17 20:00,52.6
2019-07-17 21:00,68.7
2019-07-17 22:00,49.5
2019-07-17 23:00,110.9
2019-07-18 00:00,105.2
2019-07-18 01:00,63.0
2019-07-18 02:00,80.8
2019-07-18 03:00,78.7
2019-07-18 04:00,56.6
2019-07-18 05:00,48.7
2019-07-18 06:00,102.9
2019-07-18 07:00,67.9
2019-07-18 08:00,73.4
2019-07-18 09:00,82.9
2019-07-18 10:00,78.6
2019-07-18 11:00,85.7
2019-07-18 12:00,94.3
2019-07-18 13:00,83.0
2019-07-18 14:00,106.7
2019-07-18 15:00,48.7
2019-07-18 16:00,83.3
2019-07-18 17:00,113.5
2019-07-18 18:00,81.0
2019-07-18 19:00,125.2
2019-07-18 20:00,49.3
2019-07-18 21:00,88.7
2019-07-18 22:00,69.8
2019-07-18 23:00,84.2
2019-07-19 00:00,65.3
2019-07-19 01:00,113.1
2019-07-19 02:00,122.3
2019-07-19 03:00,90.8
2019-07-19 04:00,107.9
2019-07-19 05:00,66.6
2019-07-19 06:00,75.3
2019-07-19 07:00,79.3
2019-07-19 08:00,86.1
2019-07-19 09:00,91.6
2019-07-19 10:00,88.9
2019-07-19 11:00,102.3
2019-07-19 12:00,108.4
2019-07-19 13:00,94.8
2019-07-19 14:00,84.8
2019-07-19 15:00,73.2
2019-07-19 16:00,82.6
2019-07-19 17:00,90.0
2019-07-19 18:00,93.4
2019-07-19 19:00,123.0
2019-07-19 20:00,104.2
2019-07-19 21:00,74.8
2019-07-19 22:00,85.7
2019-07-19 23:00,86.5
2019-07-20 00:00,57.5
2019-07-20 01:00,54.8
2019-07-20 02:00,65.8
2019-07-20 03:00,53.9
2019-07-20 04:00,72.7
2019-07-20 05:00,54.9
2019-07-20 06:00,96.9
2019-07-20 07:00,72.6
2019-07-20 08:00,62.8
2019-07-20 09:00,56.2
2019-07-20 10:00,65.9
2019-07-20 11:00,53.1
2019-07-20 12:00,68.3
2019-07-20 13:00,60.0
2019-07-20 14:00,50.5
2019-07-20 15:00,58.7
2019-07-20 16:00,37.6
2019-07-20 17:00,45.4
2019-07-20 18:00,54.7
2019-07-20 19:00,91.9
2019-07-20 20:00,103.7
2019-07-20 21:00,116.9
2019-07-20 22:00,111.5
2019-07-20 23:00,103.3
2019-07-21 00:00,76.7
2019-07-21 01:00,88.7
2019-07-21 02:00,60.4
2019-07-21 03:00,71.0
2019-07-21 04:00,57.6
2019-07-21 05:00,76.3
2019-07-21 06:00,70.0
2019-07-21 07:00,73.3
2019-07-21 08:00,87.8
2019-07-21 09:00,50.6
2019-07-21 10:00,92.2
2019-07-21 11:00,78.4
2019-07-21 12:00,70.4
2019-07-21 13:00,82.6
2019-07-21 14:00,75.3
2019-07-21 15:00,84.3
2019-07-21 16:00,82.0
2019-07-21 17:00,63.6
2019-07-21 18:00,53.0
2019-07-21 19:00,51.6
2019-07-21 20:00,42.1
2019-07-21 21:00,39.4
2019-07-21 22:00,64.8
2019-07-21 23:00,44.2
2019-07-22 00:00,77.5
2019-07-22 01:00,76.3
2019-07-22 02:00,86.3
2019-07-22 03:00,78.0
2019-07-22 04:00,77.0
2019-07-22 05:00,37.3
2019-07-22 06:00,44.5
2019-07-22 07:00,102.9
2019-07-22 08:00,83.6
2019-07-22 09:00,91.4
2019-07-22 10:00,100.6
2019-07-22 11:00,111.5
2019-07-22 12:00,86.7
2019-07-22 13:00,77.9
2019-07-22 14:00,68.6
2019-07-22 15:00,78.8
2019-07-22 16:00,65.9
2019-07-22 17:00,81.2
2019-07-22 18:00,79.5
2019-07-22 19:00,95.3
2019-07-22 20:00,75.6
2019-07-22 21:00,81.9
2019-07-22 22:00,70.3
2019-07-22 23:00,72.4
2019-07-23 00:00,64.4
2019-07-23 01:00,56.6
