time,value
2019-07-10 01:00,33.9
2019-07-10 02:00,57.5
2019-07-10 03:00,53.0
2019-07-10 04:00,37.5
2019-07-10 05:00,21.8
2019-07-10 06:00,39.8
2019-07-10 07:00,22.1
2019-07-10 08:00,71.8
2019-07-10 09:00,40.5
2019-07-10 10:00,21.2
2019-07-10 11:00,45.8
2019-07-10 12:00,39.2
2019-07-10 13:00,56.3
2019-07-10 14:00,26.4
2019-07-10 15:00,31.4
2019-07-10 16:00,60.2
2019-07-10 17:00,67.5
2019-07-10 18:00,37.3
2019-07-10 19:00,65.1
2019-07-10 20:00,83.6
2019-07-10 21:00,63.1
2019-07-10 22:00,79.0
2019-07-10 23:00,98.5
2019-07-11 00:00,84.9
2019-07-11 01:00,52.1
2019-07-11 02:00,42.5
2019-07-11 03:00,30.8
2019-07-11 04:00,28.7
2019-07-11 05:00,30.2
2019-07-11 06:00,39.3
2019-07-11 07:00,31.4
2019-07-11 08:00,23.4
2019-07-11 09:00,38.7
2019-07-11 10:00,45.3
2019-07-11 11:00,31.8
2019-07-11 12:00,42.0
2019-07-11 13:00,57.8
2019-07-11 14:00,34.1
2019-07-11 15:00,57.1
2019-07-11 16:00,40.2
2019-07-11 17:00,51.0
2019-07-11 18:00,39.0
2019-07-11 19:00,26.7
2019-07-11 20:00,44.1
2019-07-11 21:00,79.6
2019-07-11 22:00,74.7
2019-07-11 23:00,40.0
2019-07-12 00:00,26.6
2019-07-12 01:00,21.5
2019-07-12 02:00,37.9
2019-07-12 03:00,19.4
2019-07-12 04:00,30.6
2019-07-12 05:00,32.1
2019-07-12 06:00,34.5
2019-07-12 07:00,32.2
2019-07-12 08:00,40.3
2019-07-12 09:00,44.2
2019-07-12 10:00,38.6
2019-07-12 11:00,60.5
2019-07-12 12:00,55.3
2019-07-12 13:00,34.6
2019-07-12 14:00,28.8
2019-07-12 15:00,54.1
2019-07-12 16:00,36.9
2019-07-12 17:00,38.3
2019-07-12 18:00,24.4
2019-07-12 19:00,25.1
2019-07-12 20:00,69.5
2019-07-12 21:00,51.5
2019-07-12 22:00,43.7
2019-07-12 23:00,50.2
2019-07-13 00:00,34.6
2019-07-13 01:00,63.0
2019-07-13 02:00,39.3
2019-07-13 03:00,23.8
2019-07-13 04:00,41.1
2019-07-13 05:00,29.0
2019-07-13 06:00,26.4
2019-07-13 07:00,46.1
2019-07-13 08:00,31.1
2019-07-13 09:00,44.2
2019-07-13 10:00,26.2
2019-07-13 11:00,29.4
2019-07-13 12:00,54.0
2019-07-13 13:00,53.2
2019-07-13 14:00,52.6
2019-07-13 15:00,54.2
2019-07-13 16:00,38.0
2019-07-13 17:00,36.1
