step,pollutant_decay_rate,pollutant_diffusion,Mean AQI,Stdv AQI,Sum AQI,Mean max on interval
16.0,0.99,0.05,0.0,0.0,0.0,0.0
16.0,0.99,0.05,0.8825112116125804,1.2063815127582993,4589.058300385418,11.06796569500391
16.0,0.99,0.05,4.567984548312459,4.7253940818846845,23753.519651224786,30.056342325739536
16.0,0.99,0.05,6.472989295695759,6.4634821109605465,33659.54433761795,46.21125747769293
16.0,0.99,0.05,8.867736467627287,8.792452933610557,46112.22963166189,62.64680215294203
16.0,0.99,0.05,10.926503228820456,10.728407609510521,56817.816789866374,78.62382650790774
16.0,0.99,0.05,12.890446974338378,12.598090095042092,67030.32426655956,94.54277503555234
16.0,0.99,0.05,14.857423414111729,14.500228591738397,77258.601753381,110.29968011844076
16.0,0.99,0.05,16.7410476151045,16.129273782460967,87053.4475985434,126.2971246348644
16.0,0.99,0.05,18.57822396810166,17.752250978682422,96606.76463412863,141.47357875272763
16.0,0.99,0.05,20.279130474864697,19.291143729689445,105451.47846929642,156.52945807226786
16.0,0.99,0.05,22.04727813689334,20.91910792557064,114645.84631184537,171.16830580880426
16.0,0.99,0.05,23.786859680436265,22.61187646683288,123691.67033826858,185.77129196750724
16.0,0.99,0.05,25.256370804962533,23.964236698813668,131333.12818580517,199.91151652090306
16.0,0.99,0.05,26.899393890680976,25.420760983797116,139876.84823154108,213.5257945425155
16.0,0.99,0.05,28.367414085765816,26.81723307553701,147510.55324598224,226.42680463439459
16.0,0.99,0.05,29.95090838746368,28.23627704857999,155744.72361481114,238.85607352439675
16.0,0.99,0.05,31.49840815467966,29.58676386294365,163791.72240433423,251.17035468122145
16.0,0.99,0.05,33.02236736861819,31.00874940073992,171716.3103168146,263.1319306398268
16.0,0.99,0.05,34.577894441433074,32.39141657947093,179805.05109545199,274.99858329685617
16.0,0.99,0.05,36.00305323813617,33.712359829047536,187215.87683830806,286.60542338498186
16.0,0.99,0.05,37.325035159200105,34.83052984181343,194090.18282784056,312.0076769087563
16.0,0.99,0.05,38.74914408973698,36.10186496152042,201495.5492666323,337.1494259511931
16.0,0.99,0.05,40.15005683330156,37.27324773732784,208780.29553316813,360.7824228644333
16.0,0.99,0.05,41.51676777090096,38.52484675162004,215887.19240868502,384.1034804776599
16.0,0.99,0.05,42.89156684048622,39.672632195499986,223036.14757052835,406.94688704260886
16.0,0.99,0.05,44.12241476437136,40.81097957522705,229436.55677473106,429.4775077854225
16.0,0.99,0.05,45.42093909710281,41.84200882066891,236188.8833049346,451.7476258123435
16.0,0.99,0.05,46.64168127858973,42.84920981854743,242536.74264866658,473.3521197279007
16.0,0.99,0.05,47.86797997858422,44.036428464931205,248913.49588863796,494.27483529019764
16.0,0.99,0.05,48.975579778865985,44.99813868661781,254673.01485010312,515.1939093297342
16.0,0.99,0.05,50.17589886100994,46.06022906652337,260914.6740772517,535.4702593726172
16.0,0.99,0.05,51.32483433702428,47.04249056958389,266889.13855252624,555.4182222727651
16.0,0.99,0.05,52.41943103034391,48.02930710790963,272581.0413577883,574.7412949615082
16.0,0.99,0.05,53.52537116478458,48.91452150738081,278331.9300568798,593.9947967003114
16.0,0.99,0.05,54.59662005814152,49.80608409576014,283902.4243023359,612.7746566854182
16.0,0.99,0.05,55.58435491811114,50.63222861814057,289038.6455741779,631.4984043776657
16.0,0.99,0.05,56.61871384640793,51.6078283031387,294417.31200132123,650.0350224597497
16.0,0.99,0.05,57.73082025750682,52.51344837958246,300200.2653390355,668.1725283076545
16.0,0.99,0.05,58.952044171205834,53.58179121629244,306550.62969027035,686.0592607074911
16.0,0.99,0.05,60.10385652149084,54.54058604162863,312540.05391175236,703.4381257937629
16.0,0.99,0.05,61.01400177615724,55.20532079835546,317272.80923601764,720.431754908664
16.0,0.99,0.05,62.00672280640165,55.906015885073465,322434.95859328855,737.0581045387108
16.0,0.99,0.05,63.015353851619665,56.72917790196556,327679.84002842224,753.6302284638901
16.0,0.99,0.05,63.953622174737035,57.52900882923411,332558.8353086326,770.22100890658
16.0,0.99,0.05,64.9074794022468,58.3194780162282,337518.8928916834,786.5688334068515
16.0,0.99,0.05,65.80751311660569,59.00013297822782,342199.06820634956,802.0840228006031
16.0,0.99,0.05,66.85624072631968,59.69913781063138,347652.4517768624,816.9979653384551
16.0,0.99,0.05,67.80124121299747,60.53843838414693,352566.4543075868,831.0122034625442
16.0,0.99,0.05,68.74623712282688,61.29456005963778,357480.4330386998,844.514027793478
16.0,0.99,0.05,69.69111738309007,62.052123588424024,362393.8103920684,857.4885030987795
16.0,0.99,0.05,70.65120074573034,62.73667498880211,367386.24387779774,869.6085767738015
16.0,0.99,0.05,71.4584804649998,63.26136928210283,371584.09841799893,881.6481785051399
16.0,0.99,0.05,72.34557779179966,63.956370426365005,376197.0045173582,893.4400555996846
16.0,0.99,0.05,73.19562375640417,64.67342920090488,380617.2435333017,904.9387532687828
16.0,0.99,0.05,73.98668437606162,65.44880787833132,384730.7587555204,915.7934578181815
16.0,0.99,0.05,74.74312692364587,66.05462514025804,388664.26000295853,926.4468838719333
16.0,0.99,0.05,75.48902920699044,66.57013586206033,392542.9518763503,936.8019246836091
16.0,0.99,0.05,76.24998672334733,67.16510821531018,396499.93096140615,946.953320189558
16.0,0.99,0.05,77.04210819932145,67.82262837102932,400618.96263647155,956.9600171714853
16.0,0.99,0.05,77.75133426078945,68.37321026375778,404306.9381561051,966.865150187388
16.0,0.99,0.05,78.51458374088082,68.84638753228916,408275.8354525803,976.4047028883492
