time,value
2019-07-12 01:00,1307.3
2019-07-12 02:00,1246.6
2019-07-12 03:00,1198.7
2019-07-12 04:00,1088.4
2019-07-12 05:00,1307.7
2019-07-12 06:00,3045.6
2019-07-12 07:00,5231.5
2019-07-12 08:00,7341.6
2019-07-12 09:00,6012.3
2019-07-12 10:00,3239.4
2019-07-12 11:00,2210.6
2019-07-12 12:00,3245.2
2019-07-12 13:00,4201.6
2019-07-12 14:00,3702.0
2019-07-12 15:00,8391.9
2019-07-12 16:00,9403.7
2019-07-12 17:00,11035.7
2019-07-12 18:00,9830.9
2019-07-12 19:00,5654.5
2019-07-12 20:00,5920.3
2019-07-12 21:00,4013.0
2019-07-12 22:00,3833.3
2019-07-12 23:00,4123.4
2019-07-13 00:00,3562.1
2019-07-13 01:00,2232.5
2019-07-13 02:00,2745.6
2019-07-13 03:00,1993.4
2019-07-13 04:00,2431.0
2019-07-13 05:00,1856.4
2019-07-13 06:00,2367.7
2019-07-13 07:00,2540.0
2019-07-13 08:00,3599.52
2019-07-13 09:00,1967.64
2019-07-13 10:00,2834.04
2019-07-13 11:00,2032.92
2019-07-13 12:00,1479.24
2019-07-13 13:00,1582.08
2019-07-13 14:00,1482.72
2019-07-13 15:00,5391.9
2019-07-13 16:00,6403.7
2019-07-13 17:00,7705.7
2019-07-13 18:00,3345.6
2019-07-13 19:00,4892.4
2019-07-13 20:00,3435.6
2019-07-13 21:00,2239.0
2019-07-13 22:00,1328.5
2019-07-13 23:00,1678.5
2019-07-14 00:00,2325.0
2019-07-14 01:00,3204.9
2019-07-14 02:00,3328.9
2019-07-14 03:00,5632.0
2019-07-14 04:00,6231.3
2019-07-14 05:00,4278.9
2019-07-14 06:00,5231.5
2019-07-14 07:00,7341.6
2019-07-14 08:00,8012.3
2019-07-14 09:00,4986.4
2019-07-14 10:00,4345.1
2019-07-14 11:00,4170.4
2019-07-14 12:00,3742.2
2019-07-14 13:00,2949.6
2019-07-14 14:00,2864.0
2019-07-14 15:00,5429.3
2019-07-14 16:00,4263.7
2019-07-14 17:00,3564.0
2019-07-14 18:00,3628.3
2019-07-14 19:00,5739.2
2019-07-14 20:00,7523.6
2019-07-14 21:00,4903.4
2019-07-14 22:00,5417.0
2019-07-14 23:00,3979.2
2019-07-15 00:00,1809.8
2019-07-15 01:00,1186.2
2019-07-15 02:00,1085.0
2019-07-15 03:00,1186.9
2019-07-15 04:00,1361.0
2019-07-15 05:00,2534.5
2019-07-15 06:00,4854.6
2019-07-15 07:00,3203.5
2019-07-15 08:00,5344.5
2019-07-15 09:00,6723.1
2019-07-15 10:00,5428.1
2019-07-15 11:00,7543.7
2019-07-15 12:00,6548.3
2019-07-15 13:00,6134.5
2019-07-15 14:00,5184.4
2019-07-15 15:00,5994.2
2019-07-15 16:00,6716.9
2019-07-15 17:00,5504.1
2019-07-15 18:00,7022.1
2019-07-15 19:00,7610.4
2019-07-15 20:00,6371.6
2019-07-15 21:00,7738.7
2019-07-15 22:00,6527.0
2019-07-15 23:00,3570.0
2019-07-16 00:00,2973.5
2019-07-16 01:00,1733.4
2019-07-16 02:00,1776.9
2019-07-16 03:00,1354.3
2019-07-16 04:00,2005.6
2019-07-16 05:00,2727.6
2019-07-16 06:00,5101.1
2019-07-16 07:00,5203.7
2019-07-16 08:00,7342.4
2019-07-16 09:00,4538.2
2019-07-16 10:00,3549.6
2019-07-16 11:00,2012.3
2019-07-16 12:00,6548.3
2019-07-16 13:00,6134.5
2019-07-16 14:00,5184.4
2019-07-16 15:00,3328.5
2019-07-16 16:00,4746.4
2019-07-16 17:00,3244.3
2019-07-16 18:00,3202.3
2019-07-16 19:00,3573.5
2019-07-16 20:00,5638.2
2019-07-16 21:00,6750.7
2019-07-16 22:00,5961.9
2019-07-16 23:00,4620.9
2019-07-17 00:00,2569.3
2019-07-17 01:00,1405.5
2019-07-17 02:00,1044.9
2019-07-17 03:00,1601.0
2019-07-17 04:00,1051.8
2019-07-17 05:00,1644.5
2019-07-17 06:00,3925.9
2019-07-17 07:00,5203.7
2019-07-17 08:00,7342.4
2019-07-17 09:00,6213.5
2019-07-17 10:00,5623.0
2019-07-17 11:00,4023.5
2019-07-17 12:00,4145.5
2019-07-17 13:00,3187.2
2019-07-17 14:00,3705.3
2019-07-17 15:00,3754.0
2019-07-17 16:00,3424.0
2019-07-17 17:00,4322.0
2019-07-17 18:00,9403.7
2019-07-17 19:00,7705.7
2019-07-17 20:00,9830.9
2019-07-17 21:00,2083.5
2019-07-17 22:00,2483.8
2019-07-17 23:00,2076.3
2019-07-18 00:00,1259.2
2019-07-18 01:00,1137.8
2019-07-18 02:00,929.1
2019-07-18 03:00,974.9
2019-07-18 04:00,1257.6
2019-07-18 05:00,1980.5
2019-07-18 06:00,2661.9
2019-07-18 07:00,2827.3
2019-07-18 08:00,3641.1
2019-07-18 09:00,4164.3
2019-07-18 10:00,4634.7
2019-07-18 11:00,5326.5
2019-07-18 12:00,3865.4
2019-07-18 13:00,3816.4
2019-07-18 14:00,3423.3
2019-07-18 15:00,3624.5
2019-07-18 16:00,5251.7
2019-07-18 17:00,6461.3
2019-07-18 18:00,7729.9
2019-07-18 19:00,7711.2
2019-07-18 20:00,5930.6
2019-07-18 21:00,4510.4
2019-07-18 22:00,1697.4
2019-07-18 23:00,1030.3
2019-07-19 00:00,1350.5
2019-07-19 01:00,1153.1
2019-07-19 02:00,988.3
2019-07-19 03:00,1074.2
2019-07-19 04:00,1439.6
2019-07-19 05:00,1374.5
2019-07-19 06:00,1907.5
2019-07-19 07:00,3294.0
2019-07-19 08:00,4779.6
2019-07-19 09:00,3360.4
2019-07-19 10:00,5436.3
2019-07-19 11:00,4389.5
2019-07-19 12:00,3471.2
2019-07-19 13:00,2387.8
2019-07-19 14:00,2380.5
2019-07-19 15:00,3328.5
2019-07-19 16:00,4746.4
2019-07-19 17:00,3244.3
2019-07-19 18:00,6938.6
2019-07-19 19:00,6605.0
2019-07-19 20:00,5195.9
2019-07-19 21:00,5698.9
2019-07-19 22:00,3877.1
2019-07-19 23:00,3908.3
2019-07-20 00:00,1981.5
2019-07-20 01:00,2329.4
2019-07-20 02:00,1162.4
2019-07-20 03:00,962.9
2019-07-20 04:00,666.9
2019-07-20 05:00,1865.5
2019-07-20 06:00,4573.5
2019-07-20 07:00,3488.5
2019-07-20 08:00,2754.2
2019-07-20 09:00,2650.5
2019-07-20 10:00,5442.6
2019-07-20 11:00,3754.8
2019-07-20 12:00,4548.3
2019-07-20 13:00,3023.4
2019-07-20 14:00,5184.4
2019-07-20 15:00,4328.5
2019-07-20 16:00,5746.4
2019-07-20 17:00,7244.3
2019-07-20 18:00,5422.2
2019-07-20 19:00,2920.5
2019-07-20 20:00,3274.3
2019-07-20 21:00,3573.5
2019-07-20 22:00,5638.2
2019-07-20 23:00,5023.4
2019-07-21 00:00,4345.6
2019-07-21 01:00,4892.4
2019-07-21 02:00,5435.6
2019-07-21 03:00,4239.0
2019-07-21 04:00,4028.5
2019-07-21 05:00,5678.5
2019-07-21 06:00,3325.6
2019-07-21 07:00,5328.9
2019-07-21 08:00,5239.4
2019-07-21 09:00,4210.6
2019-07-21 10:00,3893.0
2019-07-21 11:00,3295.6
2019-07-21 12:00,4673.4
2019-07-21 13:00,5012.3
2019-07-21 14:00,4209.3
2019-07-21 15:00,6030.5
2019-07-21 16:00,6313.5
2019-07-21 17:00,9150.4
2019-07-21 18:00,7488.9
2019-07-21 19:00,7271.3
2019-07-21 20:00,7155.3
2019-07-21 21:00,5058.6
2019-07-21 22:00,5648.9
2019-07-21 23:00,2981.5
2019-07-22 00:00,2176.9
2019-07-22 01:00,2247.1
2019-07-22 02:00,1893.5
2019-07-22 03:00,1310.7
2019-07-22 04:00,1868.2
2019-07-22 05:00,2252.1
2019-07-22 06:00,4721.0
2019-07-22 07:00,3203.5
2019-07-22 08:00,5344.5
2019-07-22 09:00,6723.1
2019-07-22 10:00,5627.6
2019-07-22 11:00,4583.1
2019-07-22 12:00,4512.5
2019-07-22 13:00,3155.4
2019-07-22 14:00,1861.0
2019-07-22 15:00,3276.6
2019-07-22 16:00,3160.4
2019-07-22 17:00,4127.2
2019-07-22 18:00,6927.7
2019-07-22 19:00,5390.1
2019-07-22 20:00,4764.8
2019-07-22 21:00,8566.9
2019-07-22 22:00,6398.2
2019-07-22 23:00,3277.5
2019-07-23 00:00,2722.3
2019-07-23 01:00,1325.4
2019-07-23 02:00,1424.5
2019-07-23 03:00,857.5
2019-07-23 04:00,1376.9
2019-07-23 05:00,2587.1
2019-07-23 06:00,3010.2
2019-07-23 07:00,3041.6
2019-07-23 08:00,5542.1
2019-07-23 09:00,4263.9
2019-07-23 10:00,6323.4
2019-07-23 11:00,4371.0
2019-07-23 12:00,4210.6
2019-07-23 13:00,3012.3
2019-07-23 14:00,2140.5
2019-07-23 15:00,2391.9
2019-07-23 16:00,3403.7
2019-07-23 17:00,5705.7
2019-07-23 18:00,4374.4
2019-07-23 19:00,4335.4
2019-07-23 20:00,8084.0
2019-07-23 21:00,5641.9
2019-07-23 22:00,6441.1
2019-07-23 23:00,3447.0
2019-07-24 00:00,1468.5
2019-07-24 01:00,787.5
2019-07-24 02:00,796.8
2019-07-24 03:00,947.7
2019-07-24 04:00,1124.8
2019-07-24 05:00,1295.9
2019-07-24 06:00,3149.1
2019-07-24 07:00,8203.7
2019-07-24 08:00,6342.4
2019-07-24 09:00,4213.5
2019-07-24 10:00,5834.8
2019-07-24 11:00,4937.4
2019-07-24 12:00,2210.6
2019-07-24 13:00,3012.3
2019-07-24 14:00,2140.5
2019-07-24 15:00,2780.5
2019-07-24 16:00,3502.7
2019-07-24 17:00,5818.7
2019-07-24 18:00,5408.1
2019-07-24 19:00,7025.9
2019-07-24 20:00,4283.6
2019-07-24 21:00,3371.3
2019-07-24 22:00,3928.4
2019-07-24 23:00,3193.7
2019-07-25 00:00,1936.1
2019-07-25 01:00,918.8
2019-07-25 02:00,593.1
2019-07-25 03:00,485.4
2019-07-25 04:00,522.3
2019-07-25 05:00,1419.7
2019-07-25 06:00,3733.8
2019-07-25 07:00,3448.6
2019-07-25 08:00,6466.0
2019-07-25 09:00,4196.3
2019-07-25 10:00,5808.3
2019-07-25 11:00,7042.6
2019-07-25 12:00,4548.3
2019-07-25 13:00,3134.5
2019-07-25 14:00,2184.4
2019-07-25 15:00,3290.7
2019-07-25 16:00,5420.5
2019-07-25 17:00,8615.2
2019-07-25 18:00,8270.6
2019-07-25 19:00,10192.1
2019-07-25 20:00,6197.0
2019-07-25 21:00,4903.4
2019-07-25 22:00,5417.0
2019-07-25 23:00,3979.2
2019-07-26 00:00,1809.8
2019-07-26 01:00,1186.2
2019-07-26 02:00,1085.0
2019-07-26 03:00,1186.9
2019-07-26 04:00,1361.0
2019-07-26 05:00,2534.5
2019-07-26 06:00,4854.6
2019-07-26 07:00,3353.3
2019-07-26 08:00,6216.2
2019-07-26 09:00,7083.7
2019-07-26 10:00,8601.4
2019-07-26 11:00,6109.7
2019-07-26 12:00,3808.8
2019-07-26 13:00,2208.5
2019-07-26 14:00,2926.2
2019-07-26 15:00,3482.4
2019-07-26 16:00,5523.3
2019-07-26 17:00,7823.2
2019-07-26 18:00,4602.3
2019-07-26 19:00,5721.4
2019-07-26 20:00,8234.8
2019-07-26 21:00,6327.5
2019-07-26 22:00,5231.2
2019-07-26 23:00,5149.2
2019-07-27 00:00,4426.5
2019-07-27 01:00,1536.9
2019-07-27 02:00,1092.5
2019-07-27 03:00,649.7
2019-07-27 04:00,429.5
2019-07-27 05:00,645.7
2019-07-27 06:00,1049.7
2019-07-27 07:00,2816.9
