time,value
2019-07-10 01:00,9.5
2019-07-10 02:00,7.6
2019-07-10 03:00,7.6
2019-07-10 04:00,5.7
2019-07-10 05:00,3.8
2019-07-10 06:00,1.9
2019-07-10 07:00,7.9
2019-07-10 08:00,1.9
2019-07-10 09:00,6.7
2019-07-10 10:00,5.7
2019-07-10 11:00,7.8
2019-07-10 12:00,7.3
2019-07-10 13:00,9.4
2019-07-10 14:00,12.9
2019-07-10 15:00,1.9
2019-07-10 16:00,7.6
2019-07-10 17:00,1.9
2019-07-10 18:00,24.8
2019-07-10 19:00,9.5
2019-07-10 20:00,7.6
2019-07-10 21:00,34.4
2019-07-10 22:00,9.5
2019-07-10 23:00,21.0
2019-07-11 00:00,19.1
2019-07-11 01:00,19.1
2019-07-11 02:00,13.4
2019-07-11 03:00,7.6
2019-07-11 04:00,5.7
2019-07-11 05:00,7.6
2019-07-11 06:00,7.6
2019-07-11 07:00,5.7
2019-07-11 08:00,9.5
2019-07-11 09:00,7.6
2019-07-11 10:00,24.8
2019-07-11 11:00,45.8
2019-07-11 12:00,11.5
2019-07-11 13:00,5.7
2019-07-11 14:00,5.3
2019-07-11 15:00,1.9
2019-07-11 16:00,3.8
2019-07-11 17:00,1.9
2019-07-11 18:00,5.7
2019-07-11 19:00,13.4
2019-07-11 20:00,7.6
2019-07-11 21:00,26.7
2019-07-11 22:00,15.3
2019-07-11 23:00,11.5
2019-07-12 00:00,5.6
2019-07-12 01:00,5.0
2019-07-12 02:00,4.9
2019-07-12 03:00,4.0
2019-07-12 04:00,8.0
2019-07-12 05:00,1.9
2019-07-12 06:00,3.8
2019-07-12 07:00,7.5
2019-07-12 08:00,13.8
2019-07-12 09:00,9.8
2019-07-12 10:00,1.9
2019-07-12 11:00,4.8
2019-07-12 12:00,3.8
2019-07-12 13:00,1.9
2019-07-12 14:00,3.8
2019-07-12 15:00,9.5
2019-07-12 16:00,5.7
2019-07-12 17:00,13.4
2019-07-12 18:00,19.1
2019-07-12 19:00,21.0
2019-07-12 20:00,3.8
2019-07-12 21:00,5.7
2019-07-12 22:00,17.2
2019-07-12 23:00,13.4
2019-07-13 00:00,3.8
2019-07-13 01:00,28.6
2019-07-13 02:00,17.2
2019-07-13 05:00,15.3
2019-07-13 06:00,13.4
2019-07-13 07:00,5.7
2019-07-13 08:00,3.6
2019-07-13 09:00,3.3
2019-07-13 10:00,3.0
2019-07-13 11:00,3.8
2019-07-13 12:00,5.7
2019-07-13 13:00,3.8
2019-07-13 14:00,1.9
2019-07-13 15:00,5.7
2019-07-13 16:00,4.6
2019-07-13 17:00,3.8
2019-07-13 18:00,3.8
2019-07-13 19:00,9.5
2019-07-13 20:00,11.5
2019-07-13 21:00,11.5
2019-07-13 22:00,19.1
2019-07-13 23:00,11.5
